utility_account_number,month,contract_rate,netrate,cost,total_cost,total_charges,margin,usage,monthly_usage_kwh_x,pred_rce_scaled_usage,model_rate,term,rce,nits,icap,default_rce_x,pred_rce,pred_nits,pred_icap,pred_gross_cost,model_tot_charge,model_margin
286058017,2021-01-31,0.0355,0.0389442713741779,0.0469099921474839,135.52296731408123,112.51,-23.012967314081223,2889.0,892.2171717171734,1831.0792604996263,0.017,3,2.43,4.65,5.05,0.923,1.8942542365424242,4.283928288460291,3.727053033122787,21.74,49.11300000000001,-86.40996731408123
286058017,2021-02-28,0.0355,0.0393172228615266,0.0649952086080502,169.4425088411871,102.5,-66.9425088411871,2607.0,789.9999999999999,1621.3010258597126,0.017,3,2.43,4.65,5.05,0.923,1.8942542365424242,4.283928288460291,3.727053033122787,30.65,44.319,-125.1235088411871
286058017,2021-03-31,0.0355,0.0414852675886951,0.054840896146609,91.2004102918108,68.99,-22.210410291810803,1663.0,733.479797979798,1505.3057581164828,0.017,3,2.43,4.65,5.05,0.923,1.8942542365424242,4.283928288460291,3.727053033122787,21.92,28.271,-62.9294102918108
8002731700000118521,2021-02-28,0.06366,0.0636601307189542,0.0900379573346385,27.551614944399407,19.48,-8.071614944399407,306.0,727.0000000000001,1070.8004326492567,0.041,6,0.812,1.37,1.71,0.899,1.3241397372100159,3.0278265109297284,2.9525493662989573,43.75,12.546000000000001,-15.005614944399406
8002731700000118521,2021-03-31,0.06366,0.0636625514403292,0.084724411144999,20.588031908234772,15.47,-5.118031908234775,243.0,753.8888888888881,1110.4051559720615,0.041,6,0.812,1.37,1.71,0.899,1.3241397372100159,3.0278265109297284,2.9525493662989573,31.08,9.963000000000001,-10.62503190823477
8002731700000118521,2021-04-30,0.06366,0.0636633663366336,0.0677061081006637,27.35326767266813,25.72,-1.6332676726681363,404.0,674.3809523809518,993.2976830535638,0.041,6,0.812,1.37,1.71,0.899,1.3241397372100159,3.0278265109297284,2.9525493662989573,34.21,16.564,-10.789267672668132
8002731700000118521,2021-05-31,0.06366,0.0636521739130434,0.0624125289576505,35.88720415064908,36.6,0.7127958493509254,575.0,689.8383838383834,1016.0649791914784,0.041,6,0.812,1.37,1.71,0.899,1.3241397372100159,3.0278265109297284,2.9525493662989573,36.06,23.575,-12.312204150649084
8002731700000118521,2021-06-30,0.06366,0.0636589147286821,0.059031474143091,38.0753008222937,41.06,2.984699177706304,645.0,718.4603174603164,1058.2223091854594,0.041,6,0.812,1.37,1.71,0.899,1.3241397372100159,3.0278265109297284,2.9525493662989573,46.41,26.445,-11.630300822293698
8002731700000118521,2021-07-31,0.06366,0.0636605657237936,0.0669358648240468,40.228454759252166,38.26,-1.968454759252168,601.0,841.9999999999989,1240.1842700009254,0.041,6,0.812,1.37,1.71,0.899,1.3241397372100159,3.0278265109297284,2.9525493662989573,48.69,24.641000000000002,-15.587454759252164
8016991720000128841,2021-01-31,0.0438,0.0437950138504155,0.0658691782051157,47.557546664093536,31.62,-15.937546664093537,722.0,840.8888888888896,1201.5149332017586,0.036,3,0.795,2.12,1.84,0.899,1.2845477437282533,2.9509603611332746,2.795041965509232,30.71,25.991999999999997,-21.56554666409354
