utility_account_number,month,contract_rate,netrate,cost,total_cost,total_charges,margin,usage,monthly_usage_kwh_x,pred_rce_scaled_usage,model_rate,term,rce,nits,icap,default_rce_x,pred_rce,pred_nits,pred_icap,pred_gross_cost,model_tot_charge,model_margin
0500193084157001469480,2021-01-31,0.0625,0.0625035561877667,0.0626710689381905,88.11552292709584,87.88,-0.2355229270958432,1406.0,856.3900909090916,696.9219371661501,0.142,6,1.597,5.6,5.2,1.084,0.882148670223581,4.205590855130977,4.459361582386919,72.05,199.652,111.53647707290415
0500193084157001469480,2021-02-28,0.0625,0.0625036284470246,0.0806781331673873,111.17446750465972,86.13,-25.04446750465972,1378.0,767.3170000000001,624.4351210239369,0.142,6,1.597,5.6,5.2,1.084,0.882148670223581,4.205590855130977,4.459361582386919,95.81,195.676,84.50153249534027
0500193084157001469480,2021-03-31,0.0625,0.0625014854426619,0.0603348102521837,101.54348565442515,105.19,3.646514345574829,1683.0,732.5450606060592,596.138054513365,0.142,6,1.597,5.6,5.2,1.084,0.882148670223581,4.205590855130977,4.459361582386919,74.76,238.986,137.44251434557484
0500193084157001469480,2021-04-30,0.0625,0.0625017667844522,0.0667505165181959,94.45198087324724,88.44,-6.0119808732472535,1415.0,626.4794920634916,509.82292513482804,0.142,6,1.597,5.6,5.2,1.084,0.882148670223581,4.205590855130977,4.459361582386919,82.39,200.92999999999998,106.47801912675274
0500193084157001469480,2021-05-31,0.0625,0.0625036927621861,0.0698555097532198,94.58436020585968,84.63,-9.954360205859686,1354.0,654.9498282828282,532.99180819452,0.142,6,1.597,5.6,5.2,1.084,0.882148670223581,4.205590855130977,4.459361582386919,84.49,192.26799999999997,97.68363979414029
0500193084157001469480,2021-06-30,0.0625,0.0625025176233635,0.0743807703533312,147.72020992171576,124.13,-23.59020992171577,1986.0,1135.163079365078,923.7846872221484,0.142,6,1.597,5.6,5.2,1.084,0.882148670223581,4.205590855130977,4.459361582386919,88.13,282.012,134.29179007828424
1922948876,2021-01-31,0.0489,0.0488967343336275,0.068197032034213,77.26723729476339,55.4,-21.86723729476339,1133.0,911.9949494949512,1167.6311190727336,0.05,3,1.448,5.86,3.65,0.953,1.220130064418164,2.6167078225306066,2.73917949075227,41.5,56.650000000000006,-20.617237294763385
1922948876,2021-01-31,0.0489,0.0489011516314779,0.0602138412647395,125.48564519571714,101.91,-23.575645195717144,2084.0,911.9949494949512,1167.6311190727336,0.05,3,1.448,5.86,3.65,0.953,1.220130064418164,2.6167078225306066,2.73917949075227,41.5,104.2,-21.285645195717137
1922948876,2021-02-28,0.0489,0.0488983532084043,0.0769668627198218,135.5386452496063,86.11,-49.42864524960631,1761.0,804.0000000000003,1029.3647133181578,0.05,3,1.448,5.86,3.65,0.953,1.220130064418164,2.6167078225306066,2.73917949075227,54.11,88.05000000000001,-47.48864524960629
1922948876,2021-03-31,0.0489,0.0489016294508147,0.0632766647826355,104.84943354482704,81.03,-23.819433544827035,1657.0,670.6868686868689,858.6833287464073,0.05,3,1.448,5.86,3.65,0.953,1.220130064418164,2.6167078225306066,2.73917949075227,42.63,82.85000000000001,-21.999433544827028
0968201836,2021-05-31,0.0749,0.0749019607843137,0.0700421167395693,71.44295907436077,76.4,4.957040925639234,1020.0,779.3030303030307,1296.699391073191,0.035,6,1.781,3.24,3.12,0.953,1.5857175856383232,3.9784562759775444,3.722574770569169,35.77,35.7,-35.74295907436077
0968201836,2021-07-31,0.0749,0.0973676680972818,0.077769122342753,108.72123303516878,136.12,27.398766964831225,1398.0,1108.0000000000005,1843.6254825679569,0.035,6,1.781,3.24,3.12,0.953,1.5857175856383232,3.9784562759775444,3.722574770569169,42.71,48.93000000000001,-59.79123303516877
0968201836,2021-10-31,0.0749,0.1265770609318996,0.1300737579311623,72.58115692558856,70.63,-1.9511569255885632,558.0,578.3152173913041,962.2713643857721,0.035,6,1.781,3.24,3.12,0.953,1.5857175856383232,3.9784562759775444,3.722574770569169,63.73,19.53,-53.05115692558856
9935295748,2021-01-31,0.0606,0.0605949367088607,0.0813189751977604,64.24199040623071,47.87,-16.371990406230715,790.0,911.9949494949512,1844.1260951553006,0.021,6,1.578,3.65,6.09,0.953,1.9270415583510099,5.788570052170164,5.388476088515176,26.5,16.59,-47.65199040623071
9935295748,2021-02-28,0.0606,0.0606047516198704,0.0903805261092501,83.69236717716565,56.12,-27.572367177165653,926.0,804.0000000000003,1625.7517449257216,0.021,6,1.578,3.65,6.09,0.953,1.9270415583510099,5.788570052170164,5.388476088515176,34.48,19.446,-64.24636717716565
9935295748,2021-03-31,0.0606,0.0605980528511821,0.0849189647595073,61.05673566208581,43.57,-17.486735662085813,719.0,670.6868686868689,1356.1820237144839,0.021,6,1.578,3.65,6.09,0.953,1.9270415583510099,5.788570052170164,5.388476088515176,27.28,15.099,-45.95773566208581
9935295748,2021-04-30,0.0606,0.0605936675461741,0.0886069523332262,67.1640698685855,45.93,-21.2340698685855,758.0,549.7777777777777,1111.694255651253,0.021,6,1.578,3.65,6.09,0.953,1.9270415583510099,5.788570052170164,5.388476088515176,30.8,15.918000000000001,-51.2460698685855
9935295748,2021-05-31,0.0606,0.0605966277561608,0.0884955557690308,68.23007349792277,46.72,-21.51007349792277,771.0,779.3030303030307,1575.8125141057888,0.021,6,1.578,3.65,6.09,0.953,1.9270415583510099,5.788570052170164,5.388476088515176,29.9,16.191000000000003,-52.03907349792277
