utility_account_number,term,month,monthly_usage_kwh,gross_cost,computed_gross_cost,pred_gross_cost,default_rce,rce,pred_rce,default_icap_kw,icap,pred_icap,default_nits_kw,nits,pred_nits,contract_rate,netrate,pred_rce_scaled_usage,rce_scaled_usage,sum_pred_gross_cost,sum_pred_rce_scaled_usage,sum_computed_gross_cost,sum_rce_scaled_usage,model_rate,computed_rate,model_tot_charge,model_margin,computed_tot_charge,computed_margin
2371417008,24,2023-01-31,918.9999999999968,155.11,70.17,118.62,1.061,2.106,1.2530992298563635,2.93,1.8194,2.2822334556470643,3.3881,1.771,2.4333058244590773,0.0639,0.06390283400809716599,1085.389436605084,1824.141376060314,1820.7600000000002,25063.816433869193,1055.0099999999998,42123.07864539901,0.081,0.028,87.9165443650118,-30.703455634988202,51.0759585296888,-19.094041470311204
2371417008,24,2023-02-28,792.9999999999993,143.86,64.13,108.5,1.061,2.106,1.2530992298563635,2.93,1.8194,2.2822334556470643,3.3881,1.771,2.4333058244590773,0.0639,0.06390283400809716599,936.576521466631,1574.041470311026,1820.7600000000002,25063.816433869193,1055.0099999999998,42123.07864539901,0.081,0.028,75.86269823879711,-32.63730176120289,44.07316116870873,-20.056838831291266
2371417008,24,2023-03-31,763.4949494949477,108.39,45.01,76.46,1.061,2.106,1.2530992298563635,2.93,1.8194,2.2822334556470643,3.3881,1.771,2.4333058244590773,0.0639,0.06390283400809716599,901.7294375224715,1515.4763087995852,1820.7600000000002,25063.816433869193,1055.0099999999998,42123.07864539901,0.081,0.028,73.0400844393202,-3.4199155606797973,42.43333664638839,-2.5766633536116075
2371417008,24,2023-04-30,661.2698412698415,87.2,33.21,56.73,1.061,2.106,1.2530992298563635,2.93,1.8194,2.2822334556470643,3.3881,1.771,2.4333058244590773,0.0639,0.06390283400809716599,780.9959743849937,1312.567658543154,1820.7600000000002,25063.816433869193,1055.0099999999998,42123.07864539901,0.081,0.028,63.26067392518449,6.5306739251844945,36.751894439208314,3.5418944392083134
2721390014,24,2021-05-31,749.2222222222215,73.13,21.88,31.79,1.064,2.266,2.2296793591748694,2.93,1.6138,3.795649591704803,3.3881,1.6084,3.1608391867716708,0.0589,0.05889873417721518987,1570.0425980488858,1595.618003341686,1122.2400000000002,44596.84662893914,967.8000000000001,45323.312540586005,0.028,0.024,43.961192745368805,12.171192745368806,38.294832080200464,16.414832080200465
2721390014,24,2021-06-30,988.6190476190473,69.39,22.7,30.45,1.064,2.266,2.2296793591748694,2.93,1.6138,3.795649591704803,3.3881,1.6084,3.1608391867716708,0.0589,0.05889873417721518987,2071.7138012813034,2105.461242391693,1122.2400000000002,44596.84662893914,967.8000000000001,45323.312540586005,0.028,0.024,58.0079864358765,27.557986435876497,50.53106981740063,27.83106981740063
2721390014,24,2021-07-31,1218.9999999999998,69.9,24.54,31.12,1.064,2.266,2.2296793591748694,2.93,1.6138,3.795649591704803,3.3881,1.6084,3.1608391867716708,0.0589,0.05889873417721518987,2554.4916718366217,2596.103383458646,1122.2400000000002,44596.84662893914,967.8000000000001,45323.312540586005,0.028,0.024,71.52576681142541,40.40576681142541,62.30648120300751,37.76648120300751
2721390014,24,2021-08-31,1152.0108695652166,77.9,27.82,34.82,1.064,2.266,2.2296793591748694,2.93,1.6138,3.795649591704803,3.3881,1.6084,3.1608391867716708,0.0589,0.05889873417721518987,2414.1117080964814,2453.4366827394556,1122.2400000000002,44596.84662893914,967.8000000000001,45323.312540586005,0.028,0.024,67.59512782670149,32.775127826701485,58.88248038574694,31.062480385746937
2721390014,24,2021-09-30,893.03827751196,86.0,29.44,38.09,1.064,2.266,2.2296793591748694,2.93,1.6138,3.795649591704803,3.3881,1.6084,3.1608391867716708,0.0589,0.05889873417721518987,1871.4182465427596,1901.9029481598698,1122.2400000000002,44596.84662893914,967.8000000000001,45323.312540586005,0.028,0.024,52.39971090319727,14.309710903197264,45.645670755836875,16.205670755836874
2721390014,24,2021-10-31,800.8478260869571,102.69,35.61,45.61,1.064,2.266,2.2296793591748694,2.93,1.6138,3.795649591704803,3.3881,1.6084,3.1608391867716708,0.0589,0.05889873417721518987,1678.227319235107,1705.5650130761699,1122.2400000000002,44596.84662893914,967.8000000000001,45323.312540586005,0.028,0.024,46.990364938583,1.380364938583,40.933560313828075,5.323560313828075
2721390014,24,2021-11-30,791.0000000000003,95.65,32.56,42.31,1.064,2.266,2.2296793591748694,2.93,1.6138,3.795649591704803,3.3881,1.6084,3.1608391867716708,0.0589,0.05889873417721518987,1657.5905762286866,1684.5921052631586,1122.2400000000002,44596.84662893914,967.8000000000001,45323.312540586005,0.028,0.024,46.412536134403226,4.102536134403223,40.430210526315804,7.870210526315802
