utility_account_number,month,contract_rate,netrate,cost,total_cost,total_charges,margin,usage,monthly_usage_kwh_x,pred_rce_scaled_usage,model_rate,term,rce,nits,icap,default_rce_x,pred_rce,pred_nits,pred_icap,pred_gross_cost,model_tot_charge,model_margin
08004691240000926259,2021-02-28,0.0799,0.0799059561128526,0.107165674320188,68.37170021627996,50.98,-17.391700216279965,638.0,754.0,896.902755179289,0.084,6,0.681,1.82,1.71,0.952,1.13242894287889,2.8242866126024944,2.997539944464457,81.6,53.592000000000006,-14.779700216279956
08004691240000926259,2021-03-31,0.0799,0.0799089253187613,0.0958856124572363,52.64120123902276,43.87,-8.771201239022766,549.0,758.4494949494963,902.1955460007208,0.084,6,0.681,1.82,1.71,0.952,1.13242894287889,2.8242866126024944,2.997539944464457,65.82,46.116,-6.525201239022763
08004691240000926259,2021-04-30,0.0799,0.079891304347826,0.1043610647747887,48.00608979640284,36.75,-11.25608979640284,460.0,640.8888888888891,762.3541249446126,0.084,6,0.681,1.82,1.71,0.952,1.13242894287889,2.8242866126024944,2.997539944464457,70.44,38.64,-9.36608979640284
08004691240000926259,2021-05-31,0.0799,0.0798930481283422,0.1010847100123154,56.70852231690897,44.82,-11.888522316908968,561.0,664.3535353535353,790.2659366998502,0.084,6,0.681,1.82,1.71,0.952,1.13242894287889,2.8242866126024944,2.997539944464457,74.24,47.124,-9.584522316908966
08004691240000926259,2021-06-30,0.0799,0.0799031811894882,0.0909768367782573,65.77625299068006,57.77,-8.00625299068006,723.0,860.1904761904772,1023.2191088517554,0.084,6,0.681,1.82,1.71,0.952,1.13242894287889,2.8242866126024944,2.997539944464457,67.28,60.732000000000006,-5.044252990680057
08004691240000926259,2021-07-31,0.0799,0.0799193548387096,0.2553147565000236,31.65902980600293,9.91,-21.74902980600293,124.0,1072.999999999999,1276.3616131397564,0.084,6,0.681,1.82,1.71,0.952,1.13242894287889,2.8242866126024944,2.997539944464457,69.46,10.416,-21.24302980600293
08005496860000559652,2021-02-28,0.0899,0.0898863636363636,0.1276392293497678,44.92900873111827,31.64,-13.289008731118273,352.0,754.0,783.9279311624853,0.102,6,0.542,1.61,1.57,0.952,0.9897869900088674,2.1883463286081586,2.2115161692920093,87.09,35.903999999999996,-9.025008731118277
08005496860000559652,2021-03-31,0.0899,0.0898860398860398,0.112481508455595,39.48100946791387,31.55,-7.931009467913871,351.0,758.4494949494963,788.5540364283693,0.102,6,0.542,1.61,1.57,0.952,0.9897869900088674,2.1883463286081586,2.2115161692920093,68.41,35.802,-3.679009467913872
08005496860000559652,2021-04-30,0.0899,0.0898987341772151,0.1054232916767819,41.64220021232887,35.51,-6.132200212328876,395.0,640.8888888888891,666.3271893523751,0.102,6,0.542,1.61,1.57,0.952,0.9897869900088674,2.1883463286081586,2.2115161692920093,72.68,40.29,-1.3522002123288743
08005496860000559652,2021-05-31,0.0899,0.0899079754601226,0.1233444020325653,40.21027506261629,29.31,-10.900275062616291,326.0,664.3535353535353,690.7231996421485,0.102,6,0.542,1.61,1.57,0.952,0.9897869900088674,2.1883463286081586,2.2115161692920093,77.06,33.251999999999995,-6.958275062616295
08005496860000559652,2021-06-30,0.0899,0.0899043977055449,0.0910914490360219,47.640827845839496,47.02,-0.6208278458394929,523.0,860.1904761904772,894.3333427130952,0.102,6,0.542,1.61,1.57,0.952,0.9897869900088674,2.1883463286081586,2.2115161692920093,71.8,53.346,5.7051721541605005
08005496860000559652,2021-07-31,0.0899,0.0899027946537059,0.0863435547929188,71.06074559457224,73.99,2.929254405427756,823.0,1072.999999999999,1115.5897481927666,0.102,6,0.542,1.61,1.57,0.952,0.9897869900088674,2.1883463286081586,2.2115161692920093,75.19,83.946,12.885254405427759
08013905950000912058,2021-01-31,0.0749,0.0749056603773584,0.0874717608921579,50.9960366001281,43.67,-7.326036600128098,583.0,859.0252525252523,1683.6153344198772,0.034,3,0.642,1.81,1.7,0.952,1.865837812865235,4.413251094537646,4.068962649377282,42.8,19.822000000000003,-31.174036600128098
08013905950000912058,2021-02-28,0.0749,0.0749038461538461,0.1178599899811058,49.02975583214005,31.16,-17.869755832140047,416.0,754.0,1477.7749064079699,0.034,3,0.642,1.81,1.7,0.952,1.865837812865235,4.413251094537646,4.068962649377282,53.91,14.144000000000002,-34.88575583214005
08013905950000912058,2021-03-31,0.0749,0.0748941798941798,0.1065434351585476,40.27341848993102,28.31,-11.96341848993102,378.0,758.4494949494963,1486.4955323795277,0.034,3,0.642,1.81,1.7,0.952,1.865837812865235,4.413251094537646,4.068962649377282,44.78,12.852,-27.421418489931018
08016628060006426833,2021-02-28,0.1099,0.1098814229249011,0.1468513317504239,37.15338693285726,27.8,-9.35338693285726,253.0,754.0,1141.953562988863,0.06,3,0.573,2.45,2.11,0.952,1.4418299628188296,2.9167069180840626,3.3360055593316256,65.99,15.18,-21.97338693285726
08016628060006426833,2021-03-31,0.1099,0.1099170124481327,0.1376837959852572,33.181794832447,26.49,-6.691794832446998,241.0,758.4494949494963,1148.6924444359163,0.06,3,0.573,2.45,2.11,0.952,1.4418299628188296,2.9167069180840626,3.3360055593316256,53.79,14.459999999999999,-18.721794832446996
08016628060006426833,2021-04-30,0.1099,0.1098872180451127,0.1285541683740223,34.19540878748993,29.23,-4.965408787489931,266.0,640.8888888888891,970.6437004597353,0.06,3,0.573,2.45,2.11,0.952,1.4418299628188296,2.9167069180840626,3.3360055593316256,57.72,15.959999999999999,-18.23540878748993
